Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPV;CPV Tipo ;CPV Designação;CPV Valor;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE;Medidas especiais;Regime;Critérios Materiais;CCP;groupMembers
Apoio ao nível de assistência social às crianças e jovens migrantes do Centro para as Migrações do Fundão;Ajuste Direto Regime Geral;Aquisição de serviços;85320000-8;Principal;Serviços sociais;13488.0 € ;Município do Fundão (506215695);Cátia Sofia Nogueira Vinagre;"13.488,00 €";12-10-2023;10-10-2023;366 dias;"Portugal, Castelo Branco, Fundão";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
IPCB-2023CPR21 – Plataforma web;Consulta Prévia;Aquisição de serviços;72212220-7;Principal;Serviços de desenvolvimento de software para Internet e intranet;57500.0 € ;Instituto Politécnico de Castelo Branco (504152980);"NETSIGMA - Consultoria e Formação em Informática, Lda. (503735655)";"57.500,00 €";11-10-2023;11-10-2023;1096 dias;"Portugal, Castelo Branco, Castelo Branco";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
"Ajuste Direto para a aquisição de serviços para para o desenvolvimento de atividades de enriquecimento curricular e atividades de animação e apoio à família - Tempo de Acolher, para o ano letivo 2023/2024 – Horário AEC H07";Ajuste Direto Regime Geral;Aquisição de serviços;80000000-4;Principal;Serviços de ensino e formação;7344.0 € ;Município da Sertã (506963837);Cláudia Sofia Garcia Rechena;"7.344,00 €";11-10-2023;03-10-2023;274 dias;"Portugal, Castelo Branco, Sertã";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
"Aquisição de serviços de confeção, transporte e distribuição de refeições escolares ao primeiro ciclo do ensino básico do estabelecimento de ensino Escola Básica Largo da Feira";Ajuste Direto Regime Geral;Aquisição de serviços;55500000-5;Principal;Serviços de cantinas e de fornecimento de refeições (catering);12564.0 € ;Município da Covilhã (505330768);Freguesia de Tortosendo (507252047);"12.564,00 €";11-10-2023;10-10-2023;226 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";true;false;
Aquisição de serviços de consultoria para o desenvolvimento do conceito da Quinta Ciência Viva das Cerejas e das Ideias;Consulta Prévia;Aquisição de serviços;73000000-2;Principal;Serviços de investigação e desenvolvimento e serviços de consultoria conexos;72500.0 € ;Agência de Desenvolvimento Gardunha 21 (507925297);Kossmanndejong (NL819562877B01);"72.500,00 €";11-10-2023;25-09-2023;120 dias;"Portugal, Castelo Branco, Fundão";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Ajuste Direto para a a prestação de serviços de transporte de alunos da APPACDM de setembro a julho (circuito 2);Ajuste Direto Regime Geral;Aquisição de serviços;60120000-5;Principal;Serviços de táxis;6141.51 € ;Município da Sertã (506963837);José dos Santos Ferreira;"6.141,51 €";11-10-2023;18-09-2023;305 dias;"Portugal, Castelo Branco, Sertã";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Execução de Dois Murais em Castelo Branco e Lardosa;Ajuste Direto Regime Geral;Aquisição de serviços;92312000-1;Principal;Serviços relacionados com arte;14000.0 € ;Município de Castelo Branco (501143530);Styler Unipessoal Lda (515305626);"14.000,00 €";10-10-2023;28-09-2023;18 dias;"Portugal, Castelo Branco, Castelo Branco<BR/>Portugal, Castelo Branco, Castelo Branco";"Artigo 24.º, n.º 1, alínea e), subalínea i) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL 111-B/2017 ) e DLR nº 34/2008/M, de 14.08 (DLR n.º 6/2018/M)";true;false;
Consulta prévia para a aquisição de serviços de circuitos especiais de transporte escolar para o ano letivo 2023/2024 - CIRCUITO C34 - PROC DFMA/DEJ_195/2023;Consulta Prévia;Aquisição de serviços;60130000-8;Principal;Serviços de transporte rodoviário de passageiros com finalidade específica;14932.8 € ;Município da Covilhã (505330768);TÁXIS NEVE DA SERRA. LDA  (504677241);"14.932,80 €";10-10-2023;09-10-2023;183 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2561946;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Consulta Prévia para a prestação de serviços de transportes de alunos do Pólo da Sertã para o Conservatório de Música de Coimbra, no ano letivo 2023/2024 (quartas e sábados)";Consulta Prévia;Aquisição de serviços;60130000-8;Principal;Serviços de transporte rodoviário de passageiros com finalidade específica;9125.0 € ;Município da Sertã (506963837);"VENÂNCIOTUR - VIAGENS E TURISMO, UNIPESSOAL LDA (510721680)";"9.125,00 €";10-10-2023;03-10-2023;274 dias;"Portugal, Castelo Branco, Sertã";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
"Consulta Prévia para a impressão de 500 exemplares do livro da exposição “Quase eterno”, de Agostinho Santos para oferta";Consulta Prévia;Aquisição de serviços;79800000-2;Principal;Serviços de impressão e afins;6984.0 € ;Município da Sertã (506963837);"GRECA - ARTES GRÁFICAS, LDA (500251819)";"6.984,00 €";10-10-2023;03-10-2023;20 dias;"Portugal, Castelo Branco, Sertã";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
"Procedimento por ajuste direto, critérios materiais, para a aquisição de serviços de circuitos especiais de transporte escolar - CIRCUITO C32 - DFMA/DEJ_80/2023";Ajuste Direto Regime Geral;Aquisição de serviços;60130000-8;Principal;Serviços de transporte rodoviário de passageiros com finalidade específica;8928.0 € ;Município da Covilhã (505330768);"Paulo Pombo, Unipessoal Lda (513537090)";"8.928,00 €";10-10-2023;09-10-2023;186 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 24.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2559446;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Ajuste Direto para a aquisição de serviços para para o desenvolvimento de atividades de enriquecimento curricular e atividades de animação e apoio à família - Tempo de Acolher, para o ano letivo 2023/2024 – Horário AEC H08";Ajuste Direto Regime Geral;Aquisição de serviços;80000000-4;Principal;Serviços de ensino e formação;9120.0 € ;Município da Sertã (506963837);Duarte Filipe Marçal Lopes;"9.120,00 €";10-10-2023;22-09-2023;274 dias;"Portugal, Castelo Branco, Sertã";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
"Aquisição de uma solução transversal de desmaterialização das assinaturas de utentes e profissionais de saúde nos consentimentos informados gerados na atividade diária do Centro Hospitalar Universitário Cova da Beira, E.P.E.";Concurso público;Aquisição de serviços;72200000-7;Principal;Serviços de consultoria e de programação de software;38945.87 € ;"Centro Hospitalar Universitário Cova da Beira, E. P. E. (506361659)";"GLINTT - HEALTHCARE SOLUTIONS, SA. (502479418)";"38.945,87 €";10-10-2023;14-09-2023;92 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2056783;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de um sistema integrado de gestão de ensaios clínicos;Concurso público;Aquisição de serviços;72200000-7;Principal;Serviços de consultoria e de programação de software;154120.0 € ;"Centro Hospitalar Universitário Cova da Beira, E. P. E. (506361659)";"Ambidata ? Digital Innovation Solutions & Consulting, Lda (504673734)";"154.120,00 €";10-10-2023;19-09-2023;30 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;true;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2403764;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
641/2023 - Convite ao abrigo do(s) acordo(s)-quadro 2022/13 - vacinas e tuberculinas;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;11539.0 € ;"Unidade Local de Saúde de Castelo Branco, EPE (509309844)";MERCK SHARP DOHME (500191360);"11.539,00 €";10-10-2023;09-10-2023;92 dias;"Portugal, Castelo Branco, Castelo Branco";Artigo 259.º do Código dos Contratos Públicos;;;;;;;5839055;CP 2022/13 - Vacinas e tuberculinas;true;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2551651;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Concurso Público para a prestação de serviços de seguros - ramo automóvel;Concurso público;Aquisição de serviços;66510000-8;Principal;Serviços de seguros;56010.69 € ;Município da Sertã (506963837);"GENERALI SEGUROS, SA (500940231)";"56.010,69 €";10-10-2023;28-09-2023;1096 dias;"Portugal, Castelo Branco, Sertã";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2508056;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
IPCB-2023CP006 Colocação e exploração de máquinas de lavar roupa e secadores na Residência Eduardo Marçal Grilo;Concurso público;Concessão de serviços públicos;98311200-8;Principal;Serviços de exploração de lavandarias;58098.6 € ;Instituto Politécnico de Castelo Branco (504152980);Miele Operations & Payment Solutions GmbH - sucursal em Portugal (980732280);"58.098,60 €";10-10-2023;02-10-2023;3653 dias;"Portugal, Castelo Branco, Castelo Branco";"Artigo 31.º, n.º 1 do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/NjY0NDQz;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
"Colocação de equipamentos para manutenção Fitness e ginástica e colocação de paliçadas nos contentores do lixo, no âmbito do orçamento participativo - Ano 2022 - Propostas n.º 21, 45 e 78";Ajuste Direto Regime Geral;Empreitadas de obras públicas;45212100-7;Principal;Construção de instalações para ocupação de tempos livres;29873.25 € ;Municipio de Idanha-a-Nova (501121030);"António Sousa Baltazar & Filhos, L.da (505768577)";"29.873,25 €";10-10-2023;06-10-2023;90 dias;"Portugal, Castelo Branco, Idanha-a-Nova<BR/>Portugal, Castelo Branco, Idanha-a-Nova<BR/>Portugal, Castelo Branco, Idanha-a-Nova";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/NjY4MzAz;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de (4) bio trituradores para aproveitamento dos resíduos vegetais;Concurso público;Aquisição de bens móveis;42996100-5;Principal;Trituradores;78945.78 € ;Município de Idanha-a-Nova (501121030);IRRIMAC IMPORTAÇÃO DISTRIBUIÇÃO E MONTAGEM DE EQUIPAMENTOS LDA (503495557);"78.945,78 €";10-10-2023;09-10-2023;90 dias;"Portugal, Castelo Branco, Idanha-a-Nova";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/NjM5MzI2;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
IPCB-2023CP005 Equipamento informático diverso;Concurso público;Aquisição de bens móveis;30213000-5;Principal;Computadores pessoais;86544.34 € ;Instituto Politécnico de Castelo Branco (504152980);"CLARANET II SOLUTIONS, S.A. (510728189)";"86.544,34 €";10-10-2023;04-10-2023;60 dias;"Portugal, Castelo Branco, Castelo Branco";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/NjQ4NDkz;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Prestação de Serviços no âmbito AEC´s para o ano letivo 2023/2024;Ajuste Direto Regime Geral;Aquisição de serviços;92620000-3;Principal;Serviços relacionados com o desporto;12337.2 € ;Município de Vila de Rei (506932273);"Human. Coop, Lda. - Cooperativa Social (515714364)";"12.337,20 €";10-10-2023;02-10-2023;274 dias;"Portugal, Castelo Branco, Vila de Rei";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
IPCB-2023CP005 Equipamento informático diverso;Concurso público;Aquisição de bens móveis;30213000-5 | 30214000-2;Suplementar | Principal;Computadores pessoais | Estações de trabalho;8457.9 €  | 68750.0 € ;Instituto Politécnico de Castelo Branco (504152980);"VISUALFORMA - TECNOLOGIAS DE INFORMAÇÃO, S.A. (503536717)";"77.207,90 €";10-10-2023;04-10-2023;60 dias;"Portugal, Castelo Branco, Castelo Branco";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/NjQ4NDkz;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Ajuste Direto para a aquisição de serviços para o aluguer de um sistema de gestão de frotas - PROC 35/2023;Ajuste Direto Regime Geral;Aquisição de serviços;50111100-7;Principal;Serviços de gestão de frotas de veículos;14199.84 € ;Município da Covilhã (505330768);"Municípia, Empresa de Cartografia e Sistemas de Informação, S. A. (504475606)";"14.199,84 €";10-10-2023;09-10-2023;1096 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2358451;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de gasóleo rodoviário aditivado a granel ao abrigo do Acordo Quadro (AQ-CR 2023) - Lote 2 com ESPAP;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;09130000-9;Principal;Petróleo e destilados;240000.0 € ;Município do Fundão (506215695);"Petróleos de Portugal - Petrogal, S.A. (500697370)";"240.000,00 €";10-10-2023;06-10-2023;731 dias;"Portugal, Castelo Branco, Fundão";Artigo 259.º do Código dos Contratos Públicos;;;;;;;6214791;Acordo quadro de fornecimento de combustíveis rodoviários em Portugal Continental;false;https://plataforma-sncp.espap.gov.pt/espap/faces/app/acessoDocs.jsp?codigoAcesso=uqF48o8cGrItMYX0mWGYbTJBdQw2IWKItgty33WeDeOeOMROS9;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Fornecimento de leite escolar – Ano Letivo 2023/2024;Concurso público;Aquisição de bens móveis;15511000-3;Principal;Leite;44441.44 € ;Município de Castelo Branco (501143530);"Parmalat Portugal - Produtos Alimentares, Lda (507072855)";"44.441,44 €";09-10-2023;06-10-2023;180 dias;"Portugal, Castelo Branco, Castelo Branco";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/NjY2MjUx;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Convite à apresentação de propostas ao abrigo do(s) acordo(s)-quadro 2020/61  e 2023/437, para aquisição de medicamentos. ";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;2664.0 € ;"Unidade Local de Saúde de Castelo Branco, E. P. E. (509309844)";"FRESENIUS KABI PHARMA PORTUGAL,LDA (504293753)";"2.664,00 €";09-10-2023;03-10-2023;123 dias;"Portugal, Castelo Branco, Castelo Branco";Artigo 259.º do Código dos Contratos Públicos;;;;;;;6449810;"437/2023 - Medicação antialérgica, vitaminas e sais minerais e medicamentos usados no tratamento de intoxicações";true;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2523655;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"627/2023 - Aquisição ao abrigo do(s) acordo(s)-quadro 2020/61, 2021/55, 2021/6, 2021/61, 2023/304 e 2023/436 para as Instituições do SNS";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;33600000-6;Principal;Produtos farmacêuticos;21799.9 € ;"Unidade Local de Saúde de Castelo Branco, E. P. E. (509309844)";"LAB. PFIZER, LDA. (500162166)";"21.799,90 €";09-10-2023;03-10-2023;92 dias;"Portugal, Castelo Branco, Castelo Branco";Artigo 259.º do Código dos Contratos Públicos;;;;;;;6440964;436/2023 - Medicamentos para o sistema nervoso central;true;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2541743;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
