Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPV;CPV Tipo ;CPV Designação;CPV Valor;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE;Medidas especiais;Regime;Critérios Materiais;CCP;groupMembers
SERVIÇOS DE ELABORAÇÃO DE ESTRATÉGIA DE DESENVOLVIMENTO LOCAL (2023-2027) – RECONHECIMENTO DE GRUPOS DE AÇÃO LOCAL;Ajuste Direto Regime Geral;Aquisição de serviços;73200000-4;Principal;Serviços de consultoria em matéria de investigação e desenvolvimento;15000.0 € ;ADERES - Associação de Desenvolvimento Rural Estrela Sul (503627895);AIFABI – Associação para a Inovação e a Formação Avançada da Beira Interior (515198013);"15.000,00 €";09-01-2024;12-07-2023;120 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
"Aquisição de serviços de consultadoria, assessoria e coordenação de candidatura ao Turismo de Portugal, I.P. (Linha Regenerar e Valorizar Territórios - Incêndios 2022) assim como a elaboração de projeto de arquitetura e de especialidades para a requalificação do Parque de Caravanas e zona envolvente da Praia Fluvial de Unhais da Serra. ";Ajuste Direto Regime Geral;Aquisição de serviços;71000000-8;Principal;"Serviços de arquitectura, construção, engenharia e inspecção";20000.0 € ;Freguesia de Unhais da Serra (507297911);"GeoXXI, Lda. (508947642)";"20.000,00 €";04-01-2024;20-01-2023;12 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Aquisição de serviços para o controlo analítico da qualidade da água no concelho da Covilhã, no ano de 2024, nomeadamente ao nível do cumprimento do PCQA 2024.";Consulta Prévia;Aquisição de serviços;90000000-7;Principal;"Serviços relativos a águas residuais, resíduos, limpeza e ambiente";21890.74 € ;"ICOVI - Infraestruturas e Concessões da Covilhã, E. E. M. (508282322)";Centro de Serviços do Ambiente - CESAB (502883308);"21.890,74 €";04-01-2024;20-12-2023;378 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
AD 116-23 Reparação de Sonda Transesofágica;Ajuste Direto Regime Geral;Aquisição de serviços;50400000-9;Principal;Serviços de reparação e manutenção de equipamento médico e de precisão;9200.0 € ;"Centro Hospitalar Universitário Cova da Beira, E. P. E. (506361659)";"IBERDATA EQUIPAMENTOS, LDA (501904921)";"9.200,00 €";03-01-2024;18-12-2023;10 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";Cumprimento integral do contrato;29-12-2023;"9.200,00 €";;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2659382;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
AD 115-23 Reparação de VídeoEndoscópio;Ajuste Direto Regime Geral;Aquisição de serviços;50400000-9;Principal;Serviços de reparação e manutenção de equipamento médico e de precisão;7162.02 € ;"Centro Hospitalar Universitário Cova da Beira, E. P. E. (506361659)";"FUJIFILM PORTUGAL, S.A. (516548280)";"7.162,02 €";03-01-2024;15-12-2023;30 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 24.º, n.º 1, alínea e), subalínea ii) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2657474;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Ações de Consultoria no âmbito do Aviso Nº01/C13-i03/2022 para o edifício sede da Associação de Socorros Mútuos Mutualista Covilhanense;Ajuste Direto Regime Geral;Aquisição de serviços;79000000-4;Principal;"Serviços a empresas: direito, comercialização, consultoria, recrutamento, impressão e segurança";10000.0 € ;"Associação de Socorros Mútuos ""Mutualista Covilhanense"" (501177981)";ENERAREA - Agência Regional de Energia e Ambiente do Interior (505799618);"10.000,00 €";29-12-2023;27-12-2023;150 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Aquisição de serviços de espetáculo Fim de Ano ;Ajuste Direto Regime Geral;Aquisição de serviços;92312240-5;Principal;Serviços prestados por artistas;9700.0 € ;Município da Covilhã (505330768);"Nande & Nande, Lda (504061682)";"9.700,00 €";28-12-2023;28-12-2023;1 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Consulta Prévia para a aquisição de serviços de aluguer de estruturas para o fim de ano 2023 - PROC 270/2023;Consulta Prévia;Aquisição de serviços;92331000-0;Principal;Serviços de feiras de atracções e de parques de diversões;36500.0 € ;Município da Covilhã (505330768);"ADLC- AudioVisuais - Unipessoal, Ldª (504050028)";"36.500,00 €";28-12-2023;27-12-2023;5 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2690846;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de Serviços - Medida Transversal A - Materialização Territorial e Prevenção de Riscos para a Conservação da Natureza e Biodiversidade ;Consulta Prévia;Aquisição de serviços;79341000-6;Principal;Serviços de publicidade;19800.0 € ;Município da Covilhã (505330768);"WD Retail, Lda (513350381)";"19.800,00 €";28-12-2023;27-12-2023;10 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Manutenção correctiva e preventiva máquinas de corte e costura;Consulta Prévia;Aquisição de serviços;50530000-9;Principal;Serviços de reparação e manutenção de máquinas;2397.6 € ;"Centro de Formação Profissional da Indústria Têxtil, Vestuário, Confecção e Lanifícios (Modatex) (509906478)";"Universo da Costura, Lda (513796215)";"2.397,60 €";28-12-2023;16-01-2023;347 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";Cumprimento integral do contrato;20-12-2023;"2.397,60 €";;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Aquisição de Serviços de Educação na área de Intervenção Socioeducativa - Projeto + - Design;Ajuste Direto Regime Geral;Aquisição de serviços;80000000-4;Principal;Serviços de ensino e formação;4500.0 € ;Município da Covilhã (505330768);Filipa Craveiro;"4.500,00 €";22-12-2023;21-12-2023;244 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Prestação de serviços para a realização de análises de água para consumo humano em baixa no concelho da Covilhã.;Concurso público;Aquisição de serviços;71620000-0;Principal;Serviços de análise;19967.3 € ;"ADC - Águas da Covilhã, E. M. (507611977)";Centro de Serviços do Ambiente - CESAB (502883308);"19.967,30 €";19-12-2023;19-12-2023;366 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2632048;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Prestação de serviços de aluguer de servidor virtual privado e comunicações  - SOC;Ajuste Direto Regime Geral;Aquisição de serviços;72317000-0;Principal;Serviços de armazenagem de dados;13680.0 € ;"ADC - Águas da Covilhã, E. M. (507611977)";"MEO - Serviços de Comunicações e Multimédia, SA (504615947)";"13.680,00 €";19-12-2023;19-12-2023;1096 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2630847;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Prestação de serviços de manutenção/reparação de viaturas pesadas Volvo;Consulta Prévia;Aquisição de serviços;50100000-6;Principal;"Serviços de reparação e manutenção de veículos e equipamento afim, e serviços conexos";40000.0 € ;"ADC - Águas da Covilhã, E. M. (507611977)";"Ascendum Camiões, Unipessoal, Lda. (514182849)";"40.000,00 €";19-12-2023;19-12-2023;1096 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2630851;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
AD nº 52/2023 - Prestação de Serviços para Elaboração de Projeto de reformulação de espaço no edifício Paulo de Oliveira – Forest to Fossil;Ajuste Direto Regime Geral;Aquisição de serviços;71200000-0;Principal;Serviços de arquitectura e afins;13350.0 € ;Universidade da Beira Interior (502083514);"Catarina Pinto Lopes - Arquitectura, Unipessoal Lda. (516576607)";"13.350,00 €";18-12-2023;14-12-2023;50 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/Njk2MTUx;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Aquisição de serviços para lecionação de dois Cursos não conferentes de grau,do programa UBI Impulso Adultos, no âmbito do PRR";Ajuste Direto Regime Geral;Aquisição de serviços;80510000-2;Principal;Serviços de formação especializada;9280.0 € ;Universidade da Beira Interior (502083514);Career Chaperone Lda (515726729);"9.280,00 €";15-12-2023;15-12-2023;275 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/NjkwMDM2;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Aquisição de serviços de fornecimento de projeto da estrutura de contenção da Alameda Pêro da Covilhã, na Rotunda de acesso à Rua Grupo Recreativo Refugiense e instalação de sistema de monitorização.";Concurso público;Aquisição de serviços;71242000-6;Principal;"Preparação de projecto e concepção, estimativa de custos";29950.0 € ;Município da Covilhã (505330768);RIPÓRTICO - ENGENHARIA LDA. (506782328);"29.950,00 €";15-12-2023;14-12-2023;75 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.2603058;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de Serviços de Vigilância e Segurança Humana;Concurso público;Aquisição de serviços;79714000-2;Principal;Serviços de vigilância;691714.97 € ;"Centro Hospitalar Universitário Cova da Beira, E. P. E. (506361659)";"Ovisegur - Vigilância e Segurança, Lda. (507525620)";"691.714,97 €";15-12-2023;21-08-2023;640 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1841499;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Aquisição de Serviços de Dinamizador Comunitário no âmbito do Projeto ""CriaTeixo"".";Ajuste Direto Regime Geral;Aquisição de serviços;98000000-3;Principal;"Outros serviços comunitários, sociais e pessoais";6600.0 € ;Beira Serra - Associação Promotora do Desenvolvimento Rural Integrado (503310557);Francisco João Costa Paulino;"6.600,00 €";11-12-2023;30-11-2023;360 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Consulta Prévia nº 40/2023 - Cessão de Exploração de Bares e Snack-Bares da Universidade da Beira Interior ;Consulta Prévia;Aquisição de serviços;55410000-7;Principal;Serviços de gestão de bares;46000.0 € ;Universidade da Beira Interior (502083514);Américo Torrão Unipessoal Lda (513337733);"46.000,00 €";07-12-2023;06-12-2023;609 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 21.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/Njg0MTg3;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Consulta Prévia para a aquisição de serviços de circuito especial de transporte escolar - CIRCUITO C36;Consulta Prévia;Aquisição de serviços;60130000-8;Principal;Serviços de transporte rodoviário de passageiros com finalidade específica;28600.0 € ;Município da Covilhã (505330768);"Trilho Livre - Transporte, Lda  (508250803)";"28.600,00 €";06-12-2023;06-12-2023;183 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Aquisição de Serviços de Táxi para Transporte de Alunos;Consulta Prévia;Aquisição de serviços;60120000-5;Principal;Serviços de táxis;5000.0 € ;"Escola Profissional Agrícola Quinta da Lageosa, Aldeia do Souto - Covilhã (600031691)";"Herculano Reis, Unipessoal, Lda. (500561729)";"5.000,00 €";06-12-2023;06-12-2023;46 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Prestação de Serviços de Publicidade;Ajuste Direto Regime Geral;Aquisição de serviços;79341000-6;Principal;Serviços de publicidade;19990.0 € ;"ADC - Águas da Covilhã, E. M. (507611977)";"RCC - Rádio Clube da Covilhã, CRL (501705872)";"19.990,00 €";05-12-2023;04-12-2023;1096 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
AD 50/2023 - Aquisição de serviços de desenvolvimento de um sistema de Learning Analytics para a sala de aula;Ajuste Direto Regime Geral;Aquisição de serviços;72262000-9;Principal;Serviços de desenvolvimento de software;7566.26 € ;Universidade da Beira Interior (502083514);Neurónio Inédito SA (516006525);"7.566,26 €";29-11-2023;29-11-2023;30 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";Cumprimento integral do contrato;23-02-2024;"7.566,26 €";;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Assistência técnica aos grupos de bombas BAF’s da Central de Bombagem do Departamento de Psiquiatria e Saúde Mental;Ajuste Direto Regime Geral;Aquisição de serviços;50000000-5;Principal;Serviços de reparação e manutenção;5452.0 € ;"Centro Hospitalar Universitário Cova da Beira, E. P. E. (506361659)";"REGACENTRO - COMÉRCIO E REPRESENTAÇÕES, LDA. (502718137)";"5.452,00 €";29-11-2023;24-11-2023;15 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";Cumprimento integral do contrato;31-12-2023;"5.452,00 €";;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Aquisição de serviços de dinamizador comunitário do Projecto Quero Ser Mais E9G;Ajuste Direto Regime Geral;Aquisição de serviços;98000000-3;Principal;"Outros serviços comunitários, sociais e pessoais";16097.56 € ;"CooLabora, C. R. L. (508439965)";ÁTILA EVANDRO AVEIRO DE SÁ;"16.097,56 €";27-11-2023;02-11-2023;1096 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de serviço de alojamento na Covilhã em 23 de novembro de 2023.;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de serviços;55110000-4;Principal;Serviços de alojamento em hotéis;54.67 € ;Inspecção-Geral de Finanças (600019608);"EXPOVIAGENS-VIAGENS E TURISMO, LDA (501315683)";"54,67 €";27-11-2023;23-11-2023;1 dias;"Portugal, Castelo Branco, Covilhã";Artigo 259.º do Código dos Contratos Públicos;Cumprimento integral do contrato;18-12-2023;"54,67 €";;;;5715196;Acordo Quadro de Viagens e Alojamento;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );false;false;
Aquisição de serviços de circuito especial de transporte escolar ano letivo 2023/2024 - CIRCUITO C14;Ajuste Direto Regime Geral;Aquisição de serviços;60130000-8;Principal;Serviços de transporte rodoviário de passageiros com finalidade específica;8601.0 € ;Município da Covilhã (505330768);"Trilho Livre - Transporte, Lda  (508250803)";"8.601,00 €";24-11-2023;24-11-2023;183 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 24.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;;;Código dos Contratos Públicos ( DL 111-B/2017 );true;false;
Aquisição de Serviços de Formação em Cursos de Ciências de Animais de Laboratório” do programa Impulso Adultos no âmbito do PRR – Plano de Recuperação e Resiliência para 2021-2026.;Ajuste Direto Regime Geral;Aquisição de serviços;80510000-2;Principal;Serviços de formação especializada;8016.3 € ;Universidade da Beira Interior (502083514);Sociedade Portuguesa de Ciências em Animais de Laboratório (506664481);"8.016,30 €";24-11-2023;22-11-2023;30 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/NjY3MzAz;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
